ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-123,20200722-NJ-CHI-1078,23:53,24:13,Ifeoma Chukwufumnay Onumonu,NJ,challenge,1st half,0,90.7,25.3
20200722-NJ-CHI-124,20200722-NJ-CHI-1079,23:53,24:13,Julie Beth Ertz,CHI,challenge,1st half,1,14.3,42.7
20200722-NJ-CHI-125,20200722-NJ-CHI-1081,23:54,24:14,Alyssa Naeher,CHI,recovery,1st half,null,12.9,41.2
20200722-NJ-CHI-126,20200722-NJ-CHI-1099,24:40,25:00,Erica Skroski,NJ,challenge,1st half,1,36.5,31.3
20200722-NJ-CHI-127,20200722-NJ-CHI-1101,24:40,25:00,Rachel Hill,CHI,challenge,1st half,0,68.5,36.7
20200722-NJ-CHI-128,20200722-NJ-CHI-1114,25:10,25:30,McCall RaNae Zerboni,NJ,recovery,1st half,null,31.1,15.2
20200722-NJ-CHI-129,20200722-NJ-CHI-1127,25:21,25:41,Margaret Purce,NJ,challenge,1st half,0,59.9,2.4
20200722-NJ-CHI-130,20200722-NJ-CHI-1128,25:21,25:41,Zoey Goralski,CHI,challenge,1st half,1,45.1,65.6
20200722-NJ-CHI-131,20200722-NJ-CHI-1129,25:21,25:41,Margaret Purce,NJ,take_on,1st half,0,59.9,2.4
20200722-NJ-CHI-132,20200722-NJ-CHI-1130,25:21,25:41,Zoey Goralski,CHI,tackle,1st half,1,45.1,65.6
20200722-NJ-CHI-133,20200722-NJ-CHI-1134,25:25,25:45,Jennifer Cudjoe,NJ,recovery,1st half,null,48.4,23.3
20200722-NJ-CHI-134,20200722-NJ-CHI-1160,25:59,26:19,Nahomi Kawasumi,NJ,challenge,1st half,0,64.9,64.4
20200722-NJ-CHI-135,20200722-NJ-CHI-1161,25:59,26:19,Bianca St. Georges,CHI,tackle,1st half,1,40.1,3.6
20200722-NJ-CHI-136,20200722-NJ-CHI-1162,25:59,26:19,Bianca St. Georges,CHI,challenge,1st half,1,40.1,3.6
20200722-NJ-CHI-137,20200722-NJ-CHI-1163,25:59,26:19,Nahomi Kawasumi,NJ,take_on,1st half,0,64.9,64.4
20200722-NJ-CHI-138,20200722-NJ-CHI-1170,26:19,26:39,Erica Skroski,NJ,challenge,1st half,1,45.2,66.6
20200722-NJ-CHI-139,20200722-NJ-CHI-1171,26:19,26:39,Rachel Hill,CHI,challenge,1st half,0,59.8,1.4
20200722-NJ-CHI-140,20200722-NJ-CHI-1195,26:40,27:00,Julie Beth Ertz,CHI,recovery,1st half,null,24.3,13.4
20200722-NJ-CHI-141,20200722-NJ-CHI-1215,27:24,27:44,Kealia Mae Watt,CHI,tackle,1st half,1,14.7,4.2
20200722-NJ-CHI-142,20200722-NJ-CHI-1217,27:24,27:44,Kealia Mae Watt,CHI,challenge,1st half,1,14.7,4.2
20200722-NJ-CHI-143,20200722-NJ-CHI-1218,27:24,27:44,Sabrina Flores,NJ,challenge,1st half,0,90.3,63.8
20200722-NJ-CHI-144,20200722-NJ-CHI-1219,27:27,27:47,Sarah Christine Woldmoe,NJ,recovery,1st half,null,72.5,61.9
20200722-NJ-CHI-145,20200722-NJ-CHI-1245,27:58,28:18,Ifeoma Chukwufumnay Onumonu,NJ,challenge,1st half,0,81.6,2.2
20200722-NJ-CHI-146,20200722-NJ-CHI-1246,27:58,28:18,Zoey Goralski,CHI,tackle,1st half,1,23.4,65.8
20200722-NJ-CHI-147,20200722-NJ-CHI-1247,27:58,28:18,Zoey Goralski,CHI,challenge,1st half,1,23.4,65.8
20200722-NJ-CHI-148,20200722-NJ-CHI-1257,28:15,28:35,Ifeoma Chukwufumnay Onumonu,NJ,challenge,1st half,0,92.1,2.2
20200722-NJ-CHI-149,20200722-NJ-CHI-1259,28:15,28:35,Katie Johnson Carreon,CHI,challenge,1st half,1,12.9,65.8
20200722-NJ-CHI-150,20200722-NJ-CHI-1266,28:18,28:38,Rachel Hill,CHI,challenge,1st half,0,39.4,64.6
20200722-NJ-CHI-151,20200722-NJ-CHI-1268,28:18,28:38,Gina Loren Lewandowski,NJ,challenge,1st half,1,65.6,3.4
20200722-NJ-CHI-152,20200722-NJ-CHI-1275,28:25,28:45,Erica Skroski,NJ,recovery,1st half,null,55.8,21.8
