ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20180915-RGN-POR-179,4:50,5:10,Emily Ann Sonnett,POR,Passes into the penalty box,1st half,48.9,50.5
20180915-RGN-POR-180,4:50,5:10,Emily Ann Sonnett,POR,Free-kick attacks,1st half,48.9,50.5
20180915-RGN-POR-181,4:53,5:13,Alexandra Linsley Long Batista,RGN,Free-kick attacks,1st half,13.9,37.1
20180915-RGN-POR-182,4:53,5:13,Alexandra Linsley Long Batista,RGN,Passes accurate,1st half,13.9,37.1
20180915-RGN-POR-183,4:53,5:13,Alexandra Linsley Long Batista,RGN,Free-kick attacks,1st half,13.9,37.1
20180915-RGN-POR-184,4:53,5:13,Alexandra Linsley Long Batista,RGN,Interceptions,1st half,13.9,37.1
20180915-RGN-POR-185,4:54,5:14,Rumi Utsugi,RGN,Free-kick attacks,1st half,21.2,44.3
20180915-RGN-POR-186,4:54,5:14,Rumi Utsugi,RGN,Passes (inaccurate),1st half,21.2,44.3
20180915-RGN-POR-187,4:57,5:17,Celeste Anais Boureille,POR,Picking-ups,1st half,63.6,21.8
20180915-RGN-POR-188,4:57,5:17,Celeste Anais Boureille,POR,Picking-ups (in opp. half),1st half,63.6,21.8
20180915-RGN-POR-189,4:57,5:17,Celeste Anais Boureille,POR,Free-kick attacks,1st half,63.6,21.8
20180915-RGN-POR-190,4:58,5:18,Celeste Anais Boureille,POR,Passes accurate,1st half,58.0,27.8
20180915-RGN-POR-191,4:58,5:18,Celeste Anais Boureille,POR,Free-kick attacks,1st half,58.0,27.8
20180915-RGN-POR-192,4:59,5:19,Emily Townsend Menges,POR,Free-kick attacks,1st half,50.0,30.4
20180915-RGN-POR-193,5:01,5:21,Emily Townsend Menges,POR,Free-kick attacks,1st half,47.9,34.5
20180915-RGN-POR-194,5:01,5:21,Emily Townsend Menges,POR,Passes accurate,1st half,47.9,34.5
20180915-RGN-POR-195,5:02,5:22,Emily Ann Sonnett,POR,Free-kick attacks,1st half,45.6,45.5
20180915-RGN-POR-196,5:03,5:23,Emily Ann Sonnett,POR,Free-kick attacks,1st half,46.2,47.2
20180915-RGN-POR-197,5:03,5:23,Emily Ann Sonnett,POR,Passes accurate,1st half,46.2,47.2
20180915-RGN-POR-198,5:05,5:25,Meghan Elizabeth Klingenberg,POR,Lost balls,1st half,74.3,45.3
20180915-RGN-POR-199,5:05,5:25,Meghan Elizabeth Klingenberg,POR,Free-kick attacks,1st half,48.1,64.4
20180915-RGN-POR-200,5:05,5:25,Meghan Elizabeth Klingenberg,POR,Passes (inaccurate),1st half,48.1,64.4
20180915-RGN-POR-201,5:07,5:27,Lauren Kate Barnes,RGN,Interceptions,1st half,30.7,22.7
20180915-RGN-POR-202,5:07,5:27,Lauren Kate Barnes,RGN,Free-kick attacks,1st half,30.7,22.7
20180915-RGN-POR-203,5:07,5:27,Lauren Kate Barnes,RGN,Passes accurate,1st half,30.7,22.7
20180915-RGN-POR-204,5:10,5:30,Alexandra Linsley Long Batista,RGN,Passes accurate,1st half,36.8,13.2
20180915-RGN-POR-205,5:12,5:32,Theresa Eslund,RGN,Passes accurate,1st half,35.5,2.4
20180915-RGN-POR-206,5:16,5:36,Alexandra Linsley Long Batista,RGN,Passes accurate,1st half,27.9,5.5
20180915-RGN-POR-207,5:18,5:38,Megan Leigh Oyster,RGN,Passes accurate,1st half,7.6,5.5
20180915-RGN-POR-208,5:21,5:41,Emily Ann Sonnett,POR,Air challenges (won),1st half,60.5,59.4
20180915-RGN-POR-209,5:21,5:41,Emily Ann Sonnett,POR,Challenges (won),1st half,60.5,59.4
20180915-RGN-POR-210,5:21,5:41,Jessica Anne Fishlock,RGN,Challenges (lost),1st half,44.5,8.6
20180915-RGN-POR-211,5:21,5:41,Jessica Anne Fishlock,RGN,Air challenges (lost),1st half,44.5,8.6
20180915-RGN-POR-212,5:21,5:41,Jessica Anne Fishlock,RGN,Lost balls (in opp. half),1st half,44.5,8.6
20180915-RGN-POR-213,5:21,5:41,Jessica Anne Fishlock,RGN,Lost balls,1st half,44.5,8.6
20180915-RGN-POR-214,5:23,5:43,Lindsey Michelle Horan,POR,Picking-ups (in opp. half),1st half,62.2,67.0
20180915-RGN-POR-215,5:23,5:43,Lindsey Michelle Horan,POR,Picking-ups,1st half,62.2,67.0
