,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
240,1325,34:39,34:59,30,Portland Thorns,challenge,1st half,66.6,1.9,0
241,1328,34:45,35:05,121,Portland Thorns,recovery,1st half,48.7,45.5,null
242,1334,34:57,35:17,243,OL Reign,recovery,1st half,7.3,30.9,null
243,1341,35:17,35:37,30,Portland Thorns,challenge,1st half,39.7,17.7,0
244,1342,35:17,35:37,192,OL Reign,challenge,1st half,65.3,50.3,1
245,1345,35:19,35:39,228,OL Reign,Dribbles (Unsuccessful actions),1st half,80.0,52.9,null
246,1346,35:19,35:39,228,OL Reign,challenge,1st half,80.0,52.9,0
247,1347,35:19,35:39,217,Portland Thorns,tackle,1st half,25.0,15.1,1
248,1348,35:19,35:39,217,Portland Thorns,challenge,1st half,25.0,15.1,1
249,1353,35:41,36:01,31,OL Reign,recovery,1st half,76.7,63.7,null
250,1357,35:43,36:03,135,OL Reign,challenge,1st half,71.8,61.5,1
251,1358,35:43,36:03,74,Portland Thorns,challenge,1st half,33.2,6.5,0
252,1392,36:16,36:36,228,OL Reign,recovery,1st half,94.7,32.3,null
253,1398,36:17,36:37,75,Portland Thorns,save,1st half,9.2,34.0,null
254,1411,36:51,37:11,172,OL Reign,challenge,1st half,101.8,34.0,0
255,1413,36:51,37:11,75,Portland Thorns,challenge,1st half,3.2,34.0,1
256,1416,36:51,37:11,172,OL Reign,foul,1st half,101.4,33.8,null
257,1421,37:12,37:32,219,OL Reign,challenge,1st half,56.3,6.9,0
258,1422,37:12,37:32,94,Portland Thorns,challenge,1st half,48.7,61.1,1
259,1424,37:14,37:34,89,Portland Thorns,recovery,1st half,55.0,66.3,null
260,1438,37:23,37:43,8,OL Reign,recovery,1st half,34.2,17.2,null
261,1456,37:39,37:59,72,OL Reign,dribble,1st half,65.3,50.0,1
262,1458,37:41,38:01,72,OL Reign,take_on,1st half,70.1,56.3,1
263,1460,37:41,38:01,16,Portland Thorns,challenge,1st half,34.9,11.7,0
264,1461,37:41,38:01,16,Portland Thorns,tackle,1st half,34.9,11.7,0
265,1475,37:52,38:12,219,OL Reign,recovery,1st half,87.2,23.5,null
266,1489,37:56,38:16,75,Portland Thorns,save,1st half,3.4,30.9,null
267,1497,37:59,38:19,30,Portland Thorns,recovery,1st half,1.0,18.9,null
268,1520,38:46,39:06,135,OL Reign,challenge,1st half,30.2,55.3,1
269,1525,38:46,39:06,213,Portland Thorns,challenge,1st half,74.8,12.7,0
270,1543,39:00,39:20,72,OL Reign,foul,1st half,32.3,42.9,null
271,1549,39:50,40:10,217,Portland Thorns,challenge,1st half,95.8,36.6,0
272,1550,39:50,40:10,135,OL Reign,challenge,1st half,9.2,31.4,1
273,1553,39:52,40:12,121,Portland Thorns,challenge,1st half,90.1,39.5,0
274,1554,39:52,40:12,228,OL Reign,challenge,1st half,14.9,28.5,1
275,1563,39:54,40:14,190,Portland Thorns,recovery,1st half,92.0,51.5,null
276,1568,39:56,40:16,217,Portland Thorns,foul,1st half,101.2,39.0,null
277,1573,41:24,41:44,72,OL Reign,challenge,1st half,48.5,29.2,0
278,1574,41:24,41:44,16,Portland Thorns,challenge,1st half,56.5,38.8,1
279,1583,41:30,41:50,31,OL Reign,challenge,1st half,33.4,50.8,1
280,1584,41:30,41:50,190,Portland Thorns,challenge,1st half,71.6,17.2,0
281,1585,41:30,41:50,31,OL Reign,tackle,1st half,33.4,50.8,1
282,1587,41:31,41:51,16,Portland Thorns,challenge,1st half,63.6,18.0,0
283,1588,41:31,41:51,192,OL Reign,challenge,1st half,41.4,50.0,1
284,1593,41:32,41:52,190,Portland Thorns,recovery,1st half,70.3,16.5,null
285,1616,41:51,42:11,219,OL Reign,recovery,1st half,9.7,15.6,null
286,1618,41:56,42:16,150,Portland Thorns,recovery,1st half,54.0,65.1,null
287,1636,42:11,42:31,243,OL Reign,recovery,1st half,3.8,33.8,null
288,1639,42:27,42:47,192,OL Reign,challenge,1st half,63.2,61.1,0
289,1641,42:27,42:47,30,Portland Thorns,challenge,1st half,41.8,6.9,1
290,1654,42:34,42:54,213,Portland Thorns,challenge,1st half,59.4,9.6,1
291,1656,42:34,42:54,233,OL Reign,challenge,1st half,45.6,58.4,0
292,1660,42:40,43:00,94,Portland Thorns,dribble,1st half,71.6,38.5,1
293,1684,44:07,44:27,135,OL Reign,challenge,1st half,79.6,52.4,0
294,1685,44:07,44:27,74,Portland Thorns,challenge,1st half,25.4,15.6,1
295,1686,44:07,44:27,135,OL Reign,foul,1st half,79.8,52.4,null
296,1700,44:47,45:07,228,OL Reign,tackle,1st half,34.7,42.4,0
297,1701,44:47,45:07,228,OL Reign,challenge,1st half,34.7,42.4,0
298,1702,44:47,45:07,94,Portland Thorns,recovery,1st half,70.3,25.6,null
299,1704,44:47,45:07,94,Portland Thorns,take_on,1st half,70.3,25.6,1
300,1706,44:47,45:07,94,Portland Thorns,dribble,1st half,71.0,24.9,1
301,1710,44:52,45:12,74,Portland Thorns,challenge,1st half,82.5,14.4,0
