,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
417,3399,82:13,82:33,Yuki Ogimi-Nagasato,Chicago Red Stars,challenge,2nd half,6.1,66.1,0
418,3401,82:15,82:35,Heather Ann OReilly,North Carolina Courage,dribble,2nd half,97.9,6.0,1
419,3421,82:36,82:56,Danielle Colaprico,Chicago Red Stars,challenge,2nd half,31.5,57.0,1
420,3422,82:36,82:56,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,73.5,11.0,0
421,3434,82:45,83:05,Nicole Leslie Stanton,Chicago Red Stars,dribble,2nd half,47.2,28.5,1
422,3441,82:50,83:10,Abby Dahlkemper,North Carolina Courage,recovery,2nd half,24.1,31.4,null
423,3466,83:48,84:08,Yuki Ogimi-Nagasato,Chicago Red Stars,challenge,2nd half,66.4,38.1,0
424,3467,83:48,84:08,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,38.6,29.9,1
425,3471,83:50,84:10,McCall RaNae Zerboni,North Carolina Courage,dribble,2nd half,48.5,32.3,1
426,3494,84:19,84:39,Kathleen Camille Naughton,Chicago Red Stars,recovery,2nd half,36.3,29.7,null
427,3499,84:26,84:46,Heather Ann OReilly,North Carolina Courage,recovery,2nd half,24.4,20.8,null
428,3503,84:49,85:09,Sarah Gorden,Chicago Red Stars,recovery,2nd half,26.0,4.5,null
429,3514,85:03,85:23,Denise O'Sullivan,North Carolina Courage,recovery,2nd half,48.5,17.2,null
430,3521,85:09,85:29,Debinha,North Carolina Courage,challenge,2nd half,56.3,27.5,0
431,3522,85:09,85:29,Nicole Leslie Stanton,Chicago Red Stars,challenge,2nd half,48.7,40.5,1
432,3523,85:11,85:31,Julie Beth Ertz,Chicago Red Stars,recovery,2nd half,34.9,33.3,null
433,3532,85:38,85:58,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,40.7,32.8,0
434,3533,85:38,85:58,Brooke Elby,Chicago Red Stars,challenge,2nd half,64.3,35.2,1
435,3534,85:40,86:00,Nicole Leslie Stanton,Chicago Red Stars,recovery,2nd half,55.7,24.9,null
436,3544,85:42,86:02,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,43.3,36.2,0
437,3545,85:42,86:02,Brooke Elby,Chicago Red Stars,challenge,2nd half,61.7,31.8,1
438,3565,86:02,86:22,Samantha Kerr,Chicago Red Stars,recovery,2nd half,98.3,22.7,null
439,3580,86:38,86:58,Casey Short,Chicago Red Stars,challenge,2nd half,52.1,60.3,0
440,3581,86:38,86:58,Lynn Williams,North Carolina Courage,challenge,2nd half,52.9,7.7,1
441,3585,86:40,87:00,Kristen Hamilton,North Carolina Courage,challenge,2nd half,67.6,11.3,0
